company_id,statement_date,total_net_sales,cost_of_revenue,gross_profit,marketing_expense,research_and_development_expenses,general_and_administrative_expenses,total_operating_expenses,operating_income,interest_expense,non-operating_income,income_before_taxes,income_tax_expense,net_income,basic,diluted,basic.1,diluted.1,revenue,selling_general_and_administrative_expenses,cost_goods_and_services_sold
2804,2023-12-31,,,,,,750000000.0,,,2414000000.0,,-50000000.0,29000000.0,-79000000.0,-0.16,-0.16,713643550.0,713643550.0,,,
2805,2023-12-31,,,,,,49565000.0,73517000.0,-77724000.0,192134000.0,,,75000.0,-48665000.0,-0.99,-0.99,91042000.0,91042000.0,,,
2806,2023-12-31,2426152000.0,,,117700000.0,228804000.0,311039000.0,,276272000.0,,,302588000.0,69836000.0,232387000.0,1.41,1.4,164721000.0,165663000.0,,,
2807,2023-12-31,,,,,,144536000.0,,,730423000.0,,928935000.0,52021000.0,872309000.0,1.26,1.26,692298000.0,693024000.0,4078993000.0,,
2808,2023-12-31,34164000.0,,,,56525000.0,33313000.0,103583000.0,-69419000.0,,5056000.0,-64363000.0,-13744000.0,-50619000.0,-0.51,-0.51,99683000.0,99683000.0,,,
2809,2023-12-31,,,,,,,1029342.0,,,2337439.0,,,1308097.0,,,,,,,
2810,2023-12-31,,751020000.0,184798000.0,,36402000.0,58665000.0,193437000.0,-8639000.0,5393000.0,24994000.0,16355000.0,6113000.0,10242000.0,0.2,-0.06,50900422.0,56965299.0,935818000.0,,
2811,2023-12-31,,,,,,,,,436306000.0,,,,793312000.0,2.03,2.03,390104585.0,390104585.0,,,
2812,2023-12-31,,,,,,,,,121679000.0,,,,297556000.0,2.44,2.44,122045758.0,122045758.0,,,
2813,2023-12-31,,186000.0,,,33822000.0,,,-51506000.0,,,,,-49120000.0,-1.48,-1.48,33225227.0,33225227.0,2760000.0,20258000.0,
2814,2023-12-31,,,,,,,,,223834000.0,,105923000.0,22123000.0,83800000.0,2.72,2.71,30822993.0,30931605.0,,,
2815,2023-12-31,,,911000.0,,20000.0,4870000.0,,-4495000.0,,138000.0,-4357000.0,27000.0,-4384000.0,-0.98,-0.98,5595000.0,5595000.0,,,
2816,2023-12-31,,,,,,,,,29379000.0,,37149000.0,7671000.0,29478000.0,5.24,5.24,5629150.0,5629150.0,,,
2817,2023-12-31,9677000000.0,,2683000000.0,,123000000.0,,871000000.0,1812000000.0,76000000.0,,1591000000.0,401000000.0,1196000000.0,13.27,13.14,90100000.0,91000000.0,,,6994000000.0
2818,2023-12-31,,,,,,3181537.0,,-3181537.0,,,-2156064.0,325941.0,-2482005.0,,,,,,,
2819,2023-10-31,,,22294076.0,,,,,993079.0,1152554.0,1219143.0,2212222.0,145724.0,2066498.0,0.26,,7880429.0,,,21220741.0,49879676.0
2820,2022-12-31,,,,,,,,-2481639.0,691.0,,,,-958430.0,,,,,,,
2821,2023-12-31,,,,4238000.0,,,248912000.0,,238243000.0,,136765000.0,32700000.0,104029000.0,1.7,1.7,58948000.0,58957000.0,,,
2822,2023-12-31,6036000.0,,,,,31994000.0,71567000.0,-65531000.0,,2453000.0,-63078000.0,0.0,-63078000.0,-0.26,-0.26,244327057.0,244327057.0,,,
2823,2023-12-31,,,,,,,,,273600000.0,-480500000.0,-58100000.0,5600000.0,-63700000.0,-8.34,-8.34,7635584.0,7635584.0,1066700000.0,,
2824,2023-09-30,,,,,,3528000.0,,,111642000.0,,,,117331000.0,1.63,1.63,72119000.0,72119000.0,,,
2825,2023-12-31,75297484.0,66805023.0,8492461.0,,,,18469633.0,-9977172.0,,-58343242.0,-68320414.0,,-68320389.0,-23.63,-23.63,,2891144.0,,16335651.0,
2826,2023-12-31,58443000.0,,,,61055000.0,33940000.0,,-82382000.0,11338000.0,1646000.0,,0.0,-80736000.0,-1.01,-1.02,79827362.0,85596594.0,,,5281000.0
2827,2023-12-31,19049000.0,,,,,11959000.0,29612000.0,-10563000.0,0.0,,-9974000.0,12000.0,-9986000.0,-0.46,-0.46,21589821.0,21589821.0,,,
2828,2023-12-31,1503000.0,1002000.0,413000.0,,9294000.0,11182000.0,25549000.0,-25136000.0,,281000.0,-24855000.0,,-27781000.0,-3.75,-3.75,7651000.0,7651000.0,,,
2829,2023-07-31,413021000.0,,103227000.0,,1200000.0,,,41040000.0,,-6362000.0,34678000.0,5195000.0,29551000.0,,,,,,62187000.0,309794000.0
2830,2023-12-31,,,,,,,,1640673000.0,,7103000.0,1647776000.0,408274000.0,1239502000.0,11.33,11.26,109421245.0,110090212.0,,,
2831,2023-12-30,7831000000.0,,1766000000.0,,,,,201000000.0,20000000.0,,200000000.0,61000000.0,139000000.0,3.61,3.5,39000000.0,40000000.0,,1476000000.0,6065000000.0
