company_id,statement_date,net_income,depreciation_and_amortization,stock_based_compensation,foreign_currency_transaction_gain_or_loss,other_noncash_income_or_expense,changes_in_other_current_assets,changes_in_accounts_payable,changes_in_inventories,changes_in_deferred_revenue,net_cash_provided_by_operating_activities,purchases_of_marketable_securities,proceeds_from_maturities_of_marketable_securities,proceeds_from_sale_of_marketable_securities,purchases_of_property_and_plant_and_equipment,payments_to_acquire_investments,payments_to_acquire_businesses,deferred_revenue,other_investing_activities,net_cash_provided_by_investing_activities,payments_of_tax_for_share_based_compensation,dividends_paid,repurchases_of_common_stock,proceeds_from_issuance_of_common_stock,repayments_of_long_term_debt,net_cash_provided_by_financing_activities,changes_in_cash_and_cash_equivalents_and_restricted_cash,cash_and_cash_equivalents_and_restricted_cash
1035,2023-06-30,-19580794.0,653157.0,249428.0,0.0,,,384926.0,-755224.0,,-3875091.0,,,,1229571.0,,,,,-1283523.0,,,451815.0,,,-451815.0,-5610429.0,15568911.0
1036,2023-12-31,-12148000.0,6048000.0,22048000.0,,,,-1784000.0,-4286000.0,47898000.0,5281000.0,,,,4648000.0,,,47898000.0,,-93894000.0,,,44151000.0,,,-41812000.0,-131870000.0,167630000.0
1037,2023-06-30,633000.0,,,,116000.0,,,10387000.0,-226000.0,14192000.0,,,,,,35714000.0,-226000.0,,-51865000.0,104000.0,,,,,20475000.0,-17198000.0,50927000.0
1038,2023-06-30,-256000000.0,422000000.0,35000000.0,9000000.0,,,-21000000.0,192000000.0,,254000000.0,,,,,,474000000.0,,,-955000000.0,0.0,,,0.0,230000000.0,521000000.0,-169000000.0,280000000.0
1039,2023-12-31,-569000.0,,8558000.0,,,,-1426000.0,,-89011000.0,-56035000.0,,,,840000.0,,,-89011000.0,,-150674000.0,,,,,,30230000.0,,
1040,2023-12-31,133870.0,,,,,,,-4450665.0,,5610225.0,,,,,,,,,-672500.0,,,,,,-4563108.0,,432998.0
1041,2023-12-31,5530000.0,44173000.0,3673000.0,,,,214000.0,,-535000.0,46421000.0,3239000.0,,1174000.0,,,,-535000.0,,-52561000.0,1028000.0,,6439000.0,,99600000.0,2765000.0,,17819000.0
1042,2023-12-31,50712000.0,218993000.0,13309000.0,,,,28339000.0,388063000.0,-5924000.0,-30883000.0,,,,,,0.0,-5924000.0,,-176598000.0,,,38845000.0,0.0,,202876000.0,-4051000.0,10309000.0
1043,2023-12-31,1625000000.0,1641000000.0,,,,,,-4000000.0,,3658000000.0,,,,,,,,,-2059000000.0,10000000.0,,405000000.0,,0.0,-1317000000.0,282000000.0,965000000.0
1044,2023-12-31,53735000.0,,,,407000.0,,,,,154767000.0,,,,,,,,,-267815000.0,1479000.0,,,634446000.0,,394318000.0,281270000.0,294448000.0
1045,2024-02-03,,18990000.0,4095000.0,,,,17861000.0,24638000.0,40000.0,-9577000.0,,,,,,,40000.0,,-13358000.0,854000.0,,,,,-854000.0,-23789000.0,79706000.0
1046,2023-12-31,60532000.0,28710000.0,,,,,-9751000.0,-2353000.0,,88811000.0,,,,,,3359000.0,,,-18097000.0,3263000.0,,40926000.0,,,-65399000.0,6966000.0,
1047,2023-12-31,2126000000.0,555000000.0,176000000.0,2000000.0,-1000000.0,,-23000000.0,,,2330000000.0,59000000.0,,0.0,317000000.0,,409000000.0,,,-331000000.0,,,1064000000.0,,,-1609000000.0,423000000.0,2717000000.0
1048,2023-12-31,-28507394.0,,3329307.0,1949257.0,,,,121039.0,,-21655136.0,,,,538115.0,,,,,-936236.0,,,,,,14474210.0,-8216931.0,15615095.0
1049,2023-12-31,-31911000.0,12996000.0,20000000.0,,,,-551000.0,,,12440000.0,,,,684000.0,,0.0,,,-479000.0,,,,,35000000.0,794000.0,12026000.0,49997000.0
1050,2023-12-31,735000000.0,1211000000.0,,-397000000.0,-578000000.0,,-663000000.0,-57000000.0,,1769000000.0,,,,,,1456000000.0,,2000000.0,-1987000000.0,,439000000.0,756000000.0,,2309000000.0,-99000000.0,-460000000.0,3158000000.0
1051,2023-09-30,-32542912.0,,6616705.0,,,,1761956.0,,,-29060212.0,,,,,,,,,,,,,,,13829450.0,,26480928.0
1052,2023-12-31,,201238000.0,10089000.0,,,,,,,611136000.0,,,,,,,,,-93818000.0,817000.0,,,-276000.0,,-518026000.0,-708000.0,8217000.0
1053,2023-12-31,250143000.0,,12585000.0,,,,,,,,1425000.0,323298000.0,297417000.0,590000.0,,,,,3157723000.0,2433000.0,,39806000.0,3112000.0,,108088000.0,3390540000.0,3846346000.0
1054,2023-12-31,-50733000.0,,8180000.0,,,,770000.0,,,-39961000.0,,,,0.0,,,,,25002000.0,,,0.0,0.0,,11860000.0,-3099000.0,
1055,2023-11-30,-74000000.0,,53000000.0,,,,77000000.0,85000000.0,1169000000.0,4281000000.0,,,,3284000000.0,,,1169000000.0,-134000000.0,-2810000000.0,,,,5000000.0,,-5089000000.0,-3601000000.0,2436000000.0
1056,2023-12-31,3953000.0,,773000.0,,,,,,,5861000.0,,,75000.0,3630000.0,,,,,-11893000.0,,886000.0,2870000.0,,,-17577000.0,,13036000.0
1057,2023-04-30,,,1145000.0,500000.0,,297000.0,,-15370000.0,672000.0,7804000.0,,,,,,,672000.0,,-752000.0,33000.0,,,,,-436000.0,6414000.0,20964000.0
1058,2023-12-31,-48896000.0,,3999000.0,,,-855000.0,-1295000.0,,,-16172000.0,,,,5000.0,,,,,14003000.0,123000.0,,,,,-123000.0,,38215000.0
1059,2024-02-03,11619000.0,38002000.0,8042000.0,,,,-30293000.0,-33182000.0,,42771000.0,,,,26002000.0,,,,,-26002000.0,306000.0,,0.0,,,-18517000.0,-1801000.0,12134000.0
1060,2022-12-31,-82340000.0,,14400000.0,3600000.0,,,,36305000.0,,-66995000.0,,158000000.0,,22698000.0,,,,,-194182000.0,5256000.0,,,0.0,,242937000.0,-18240000.0,146624000.0
1061,2023-12-31,82963000.0,314897000.0,,,,,,,,368362000.0,,,,,,,,,-295735000.0,,,,0.0,,-71725000.0,902000.0,6047000.0
1062,2023-12-31,221435000.0,,9439000.0,,,,,,,295632000.0,46415000.0,329000.0,,4521000.0,,0.0,,,536276000.0,,,21216000.0,,,-754084000.0,,281285000.0
1063,2023-04-01,240554000.0,16903000.0,6264000.0,,,,,-38866000.0,,255693000.0,,,,44106000.0,,105662000.0,,,-129341000.0,1072000.0,,103412000.0,,,-102196000.0,24156000.0,283490000.0
1064,2023-12-31,30157000.0,75142000.0,,,-1660000.0,,,-5000.0,,96565000.0,,,,31633000.0,,,,-372000.0,-14521000.0,,7423000.0,11634000.0,,29899000.0,-86802000.0,-4631000.0,3323000.0
